Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LSK,2019-09-21,1.0093035842,0.9901313295,1.0148027819,0.9746298513
LSK,2019-09-22,1.0057808874,1.0093163655,1.0324779398,0.9972491064
LSK,2019-09-23,0.9620478495,1.0057503431,1.0093400018,0.9523555608
LSK,2019-09-24,0.934876529,0.9620495867,0.9717817121,0.9182964346
LSK,2019-09-25,0.8545333677,0.9347754619,0.9779578593,0.7485475686
LSK,2019-09-26,0.8953973713,0.8534591791,0.9257292425,0.8117338621
LSK,2019-09-27,0.8390080243,0.8955714348,0.9317666172,0.7688401173
LSK,2019-09-28,0.8513664122,0.8390616733,0.8660770776,0.8092484985
LSK,2019-09-29,0.8443470927,0.8515041551,0.8655885169,0.8278940074
LSK,2019-09-30,0.8047053761,0.8444831632,0.8639799406,0.7876411662
LSK,2019-10-01,0.8400091288,0.7984429949,0.8573632584,0.77848609
LSK,2019-10-02,0.8365106093,0.8459961508,0.8768791397,0.8275878857
LSK,2019-10-03,0.8761926993,0.8367340323,0.8778525448,0.8235876312
LSK,2019-10-04,0.8608042828,0.8761916386,0.8842484388,0.8370416905
LSK,2019-10-05,0.8836976305,0.8615549783,0.8926898262,0.8432759157
LSK,2019-10-06,0.8515591284,0.8836966558,0.8836966558,0.8370483803
LSK,2019-10-07,0.8435634363,0.8583431195,0.8622847806,0.8207051715
LSK,2019-10-08,0.9376051768,0.8437776561,0.939738077,0.8378275445
LSK,2019-10-09,0.9084876418,0.9376147597,0.9425739994,0.8925807451
LSK,2019-10-10,0.9030730354,0.9091737277,0.939689108,0.8740098605
LSK,2019-10-11,0.8885810609,0.9030739959,0.918662967,0.8703082473
LSK,2019-10-12,0.8522462594,0.8878530211,0.9089166082,0.8441659157
LSK,2019-10-13,0.8478185543,0.852246429,0.8641039718,0.8399271218
LSK,2019-10-14,0.8111157796,0.8438280893,0.8493297972,0.7962676282
LSK,2019-10-15,0.8132369955,0.8111140039,0.8257865301,0.7947944284
LSK,2019-10-17,0.750918024,0.790016117,0.7976446074,0.7333890403
LSK,2019-10-18,0.7840202876,0.750938369,0.7948044697,0.7447709628
LSK,2019-10-19,0.7781738057,0.7840161621,0.8544240488,0.7701139461
LSK,2019-10-20,0.7542059665,0.774964321,0.7766750337,0.7487688429
LSK,2019-10-21,0.7728796648,0.7542698347,0.7838400676,0.7456076318
LSK,2019-10-22,0.7560811058,0.7781092004,0.7845760335,0.7446064067
LSK,2019-10-23,0.7368656433,0.7560746563,0.7656298956,0.736008306
LSK,2019-10-24,0.6779017668,0.7412188625,0.7415642153,0.6501415059
LSK,2019-10-25,0.7032169625,0.6778968537,0.7094531146,0.6719850503
LSK,2019-10-26,0.7456236306,0.6987828802,0.7798917158,0.6807240084
LSK,2019-10-27,0.7701131633,0.7457497866,0.8297867502,0.7270326718
LSK,2019-10-28,0.8003901168,0.7758388616,0.8239127805,0.7503779945
LSK,2019-10-29,0.8156721501,0.8003183471,0.8344602225,0.7841986696
LSK,2019-10-30,0.7992840841,0.8157014225,0.8248536534,0.7746092647
LSK,2019-10-31,0.7935855846,0.7993607013,0.8098055716,0.7504181842
LSK,2019-11-01,0.7891523087,0.7935817748,0.82161702,0.7739636454
LSK,2019-11-02,0.8043291124,0.7892755224,0.8348518155,0.7800229969
LSK,2019-11-03,0.7933510249,0.805434465,0.8109722088,0.7869988135
LSK,2019-11-04,0.7933762313,0.7933724608,0.8023826563,0.7811062038
LSK,2019-11-05,0.7928492049,0.7932968675,0.8087724281,0.7825191213
LSK,2019-11-06,0.7992716612,0.7980236307,0.8118758931,0.7808797592
LSK,2019-11-07,0.8149957453,0.799182661,0.8210336039,0.7924799768
LSK,2019-11-08,0.7891850919,0.8149323622,0.824635918,0.7836159708
LSK,2019-11-09,0.7551507955,0.7912159521,0.7979800548,0.7418811857
LSK,2019-11-10,0.7641544223,0.7552406013,0.7711880711,0.7530754547
LSK,2019-11-11,0.7838600885,0.7640866117,0.7891693064,0.7621420415
LSK,2019-11-12,0.7563383579,0.7836989745,0.7869241208,0.7435434853
LSK,2019-11-13,0.7497085091,0.7563383584,0.7641924638,0.7387701079
LSK,2019-11-14,0.7436743161,0.7496261095,0.7555079882,0.7367601972
LSK,2019-11-15,0.7707068396,0.7450430552,0.7760883226,0.7361684005
LSK,2019-11-16,0.7490039529,0.7707068396,0.7758985796,0.7404344479
LSK,2019-11-17,0.7781627762,0.7490039498,0.7970644877,0.7466888956
LSK,2019-11-18,0.7885658811,0.7781627761,0.7982661163,0.7749344565
LSK,2019-11-19,0.8189241457,0.78393744,0.8646510578,0.7513181193
LSK,2019-11-20,0.7531892752,0.8189216123,0.8290108321,0.7438716733
LSK,2019-11-21,0.7487597547,0.7513429468,0.7711865888,0.7392467278
LSK,2019-11-22,0.6950729639,0.7487171798,0.7664823239,0.666273891
